LAD23NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
Harborough,97612,4720,5368,5900,5400,4351,5002,5488,5657,5938,6745,7685,7521,6356,5534,5883,4365,2971,2728
Haringey,264229,14928,14754,15563,14573,16355,24008,25894,23601,21158,19166,18524,16096,11898,8830,7149,4886,3633,3213
Harlow,93304,6250,6565,6341,5054,4890,6436,7740,7444,6501,5623,6032,5842,4974,4023,3409,2436,1803,1941
Harrow,261205,15706,16129,16483,15053,15127,18464,20460,21136,19924,16998,16351,15353,13845,11515,9895,7357,5725,5684
Hart,99423,5160,6266,6416,5705,4421,5139,5779,6326,6734,7464,7455,7221,5770,4712,5191,4112,2885,2667
Hartlepool,92376,4986,5590,5918,5179,5126,5490,5884,5467,5067,5418,6577,7136,6295,5248,5088,3227,2468,2212
Hastings,90992,4819,5165,5292,4673,4483,5360,6007,5667,5495,5904,6978,6894,5844,5193,5141,3486,2314,2277
Havant,124202,6125,6894,6991,6248,5940,6783,7477,7101,6459,7116,8831,9359,8674,7477,7919,6055,4335,4418
Havering,262037,16488,16868,15965,14371,14094,16945,19299,19184,17430,16199,17366,16963,14749,11868,12127,8731,6422,6968
Herefordshire,187000,8426,9504,10089,9064,8171,9648,10535,10240,9813,11223,13617,14570,13621,12485,13015,9736,6695,6548
Hertsmere,107829,6295,6850,7095,6105,5447,6159,6751,7648,7815,7499,7560,7458,5998,4869,4975,3671,2657,2977
High Peak,90975,4327,4805,5167,4441,4203,4814,5363,5286,5199,5911,7360,7582,6663,5518,5582,4004,2541,2209
Hillingdon,305923,19893,20477,19996,18553,19806,20768,23686,24917,23471,20280,19895,18132,14870,11673,10448,7394,5762,5902
Hinckley and Bosworth,113593,5673,6349,6458,5585,5036,6607,7197,7104,6721,7381,8536,8257,7290,6616,7154,5183,3387,3059
Horsham,146789,7364,8006,8996,7669,6189,7536,8417,8627,9013,9572,10994,11255,9692,8338,8890,6700,4664,4867
Hounslow,288199,18219,19106,18662,16178,16752,20810,24920,25905,24158,20902,18935,16366,13330,10571,8905,6129,4358,3993
Huntingdonshire,180800,9657,10607,10391,8848,8499,10657,12179,12115,11546,12164,13246,13118,11234,9573,10243,7516,4941,4266
Hyndburn,82256,4924,5281,5338,4954,4539,5356,5654,5192,4735,5067,5919,5501,4781,4057,4233,3018,1990,1717
Ipswich,139644,8324,9055,8804,8053,7964,9891,10820,10170,9424,8929,9229,8592,7379,6271,5991,4261,3150,3337
Isle of Anglesey,68854,3211,3862,3978,3399,3052,3304,3695,3453,3480,4023,4948,5208,5045,4760,5034,3714,2511,2177
Isle of Wight,140430,5546,6867,7049,6392,5963,6682,7229,6876,7005,7893,10259,11117,10535,10451,11228,8663,5361,5314
Isles of Scilly,2055,96,107,105,43,81,109,107,132,139,106,156,170,124,123,154,127,96,80
Islington,216656,11222,9980,9951,10641,18477,28760,27312,19013,14806,12621,12905,11821,8821,6421,5395,3605,2554,2351
Kensington and Chelsea,143376,6167,6359,6483,6711,12205,13064,12075,10566,9589,10202,11086,10442,7824,5853,5469,4020,2805,2456
King's Lynn and West Norfolk,154320,7255,8360,8263,7220,7179,8621,9117,8546,8044,9140,10684,11434,10522,9790,10808,8235,5655,5447
Kingston upon Hull,267039,15968,17340,16736,15488,19425,20229,20817,18713,15792,16293,17275,17214,14924,12220,11393,7081,5238,4893
Kingston upon Thames,168103,9562,10517,10588,9451,11157,10992,12285,12979,13495,12695,11631,10190,8222,6724,6608,4554,3181,3272
Kirklees,433135,25131,27644,28604,26873,25841,26446,28417,28164,27190,28055,30847,28607,24530,21027,21419,14852,10292,9196
Knowsley,154449,9736,9484,9151,8384,8568,10617,11681,10322,8532,8788,10729,11737,10510,8203,6892,4406,3505,3204
Lambeth,317675,15268,14947,15486,14939,26757,45329,36571,26441,22440,20407,20472,18187,13171,8975,6847,4635,3628,3175
Lancaster,142981,6744,7453,7554,10705,12779,7990,8254,8425,7698,7904,9509,9795,8809,7719,7955,5749,4022,3917
Leeds,811927,46798,49607,48159,51809,70464,60629,60663,56586,51642,49139,50792,48179,40709,33669,34309,23961,17592,17220
Leicester,368580,22301,24791,25642,28325,36114,27296,27499,27239,24689,22536,21885,19475,17259,13977,11291,7331,5527,5403
Lewes,99852,4530,5307,5736,5191,4130,4272,5236,5401,5613,6342,7413,7489,6748,6392,6989,5266,3739,4058
Lewisham,300534,19126,18166,17585,15673,18810,27577,30851,27508,23748,20790,19987,18581,13507,8996,7094,5040,3901,3594
